Record of best models on the way.
The best model is achieved at epoch-1: loss0.106083.
The best model is achieved at epoch-3: loss0.106023.
The best model is achieved at epoch-4: loss0.105755.
The best model is achieved at epoch-5: loss0.105591.
The best model is achieved at epoch-7: loss0.105585.
The best model is achieved at epoch-9: loss0.105543.
The best model is achieved at epoch-11: loss0.105530.
The best model is achieved at epoch-12: loss0.105511.
The best model is achieved at epoch-15: loss0.105508.
